IMPL,PARAMS,MEAN,SSD,SEM,RSE,CI95LO,CI95UP
KOMPICSJ,messages_per_pair: 1000000!N!pipeline_size: 10!N!parallelism: 1!N!static_only: true!N!,1746.572349166667,164.7603601011622,30.08098860336023,0.0172228700504234,1687.6136115040808,1805.5310868292531
KOMPICSJ,messages_per_pair: 1000000!N!pipeline_size: 10!N!parallelism: 1!N!static_only: false!N!,1713.8421534999995,81.55168540193537,14.88923256573492,0.008687633534586722,1684.6592576711591,1743.02504932884
KOMPICSJ,messages_per_pair: 1000000!N!pipeline_size: 10!N!parallelism: 2!N!static_only: true!N!,1765.362639466667,95.98556925608626,17.52448715884427,0.009926848324001343,1731.0146446353322,1799.7106342980017
KOMPICSJ,messages_per_pair: 1000000!N!pipeline_size: 10!N!parallelism: 2!N!static_only: false!N!,1741.3126700333332,109.5417386103863,19.999493741747727,0.01148529731961629,1702.1136622995077,1780.5116777671587
KOMPICSJ,messages_per_pair: 1000000!N!pipeline_size: 10!N!parallelism: 4!N!static_only: true!N!,1920.2669991000002,43.01336469791127,7.853130039747462,0.004089603187175587,1904.8748642220953,1935.6591339779052
KOMPICSJ,messages_per_pair: 1000000!N!pipeline_size: 10!N!parallelism: 4!N!static_only: false!N!,1945.5080046666667,43.231980921525064,7.893043718784085,0.004057060520877394,1930.0376389778498,1960.9783703554835
KOMPICSJ,messages_per_pair: 1000000!N!pipeline_size: 10!N!parallelism: 8!N!static_only: true!N!,2272.4875030333333,27.55238782100074,5.030354774230905,0.002213589631413308,2262.6280076758408,2282.346998390826
KOMPICSJ,messages_per_pair: 1000000!N!pipeline_size: 10!N!parallelism: 8!N!static_only: false!N!,2307.1754667999994,24.535332016956705,4.479518267188637,0.0019415594226136724,2298.3956109963096,2315.955322603689
KOMPICSJ,messages_per_pair: 1000000!N!pipeline_size: 10!N!parallelism: 16!N!static_only: true!N!,1412.849875933333,24.40764883303902,4.456206613840038,0.0031540552819854656,1404.1157109702065,1421.5840408964593
KOMPICSJ,messages_per_pair: 1000000!N!pipeline_size: 10!N!parallelism: 16!N!static_only: false!N!,1434.578605966667,24.161655253671057,4.411294536366282,0.0030749758277580086,1425.9324686753891,1443.224743257945
KOMPICSJ,messages_per_pair: 1000000!N!pipeline_size: 10!N!parallelism: 24!N!static_only: true!N!,1454.7236631666667,27.134192476547064,4.954003099697265,0.0034054598994514933,1445.01381709126,1464.4335092420733
KOMPICSJ,messages_per_pair: 1000000!N!pipeline_size: 10!N!parallelism: 24!N!static_only: false!N!,1472.7687296,34.24996248800681,6.253159016129031,0.004245852651846683,1460.512537928387,1485.0249212716128
KOMPICSJ,messages_per_pair: 1000000!N!pipeline_size: 10!N!parallelism: 32!N!static_only: true!N!,1657.1385339999995,45.95565863333747,8.390316959495323,0.0050631355118167356,1640.6935127593886,1673.5835552406104
KOMPICSJ,messages_per_pair: 1000000!N!pipeline_size: 10!N!parallelism: 32!N!static_only: false!N!,1734.3391897333333,56.600598992856874,10.3338082788973,0.00595835482474809,1714.0849255066946,1754.593453959972
KOMPICSJ,messages_per_pair: 1000000!N!pipeline_size: 10!N!parallelism: 34!N!static_only: true!N!,1643.5086355333335,85.56760817042387,15.622436395568169,0.009505539586348779,1612.8886601980198,1674.1286108686472
KOMPICSJ,messages_per_pair: 1000000!N!pipeline_size: 10!N!parallelism: 34!N!static_only: false!N!,1503.2185505,76.2620013211545,13.923472801361699,0.009262440778641587,1475.9285438093311,1530.5085571906689
KOMPICSJ,messages_per_pair: 1000000!N!pipeline_size: 10!N!parallelism: 36!N!static_only: true!N!,1506.9974328333337,66.34278913147678,12.112480711706132,0.008037492598068487,1483.2569706383897,1530.7378950282778
KOMPICSJ,messages_per_pair: 1000000!N!pipeline_size: 10!N!parallelism: 36!N!static_only: false!N!,1513.035925133333,65.8605331104844,12.024433211309395,0.00794722254215462,1489.4680360391665,1536.6038142274995
KOMPICSJ,messages_per_pair: 1000000!N!pipeline_size: 10!N!parallelism: 38!N!static_only: true!N!,1530.6997703999998,61.37512031037616,11.2055126211955,0.007320516301029622,1508.7369656624567,1552.662575137543
KOMPICSJ,messages_per_pair: 1000000!N!pipeline_size: 10!N!parallelism: 38!N!static_only: false!N!,1530.6508092333338,61.557163601588286,11.238749026875286,0.007342464368149719,1508.6228611406582,1552.6787573260094
KOMPICSJ,messages_per_pair: 1000000!N!pipeline_size: 10!N!parallelism: 40!N!static_only: true!N!,1565.900647333333,69.44062563304323,12.678065688829744,0.008096341048469447,1541.0516385832266,1590.7496560834393
KOMPICSJ,messages_per_pair: 1000000!N!pipeline_size: 10!N!parallelism: 40!N!static_only: false!N!,1603.1338938666668,70.23517662455073,12.823130189208662,0.007998789270358454,1578.0005586958177,1628.2672290375158
KOMPICSJ,messages_per_pair: 1000000!N!pipeline_size: 50!N!parallelism: 1!N!static_only: true!N!,1614.9662146000005,66.22965570508237,12.091825468491443,0.007487355066115969,1591.2662366817574,1638.6661925182436
KOMPICSJ,messages_per_pair: 1000000!N!pipeline_size: 50!N!parallelism: 1!N!static_only: false!N!,1601.6803472333334,121.87897175580775,22.25195403873031,0.013892880734390779,1558.066517317422,1645.2941771492447
