IMPL,PARAMS,MEAN,SSD,SEM,RSE,CI95LO,CI95UP
ERLANG,number_of_messages: 1000000!N!,791.7181000000002,13.06542181999811,2.3854087513777222,0.003012952149733247,787.0426988472998,796.3935011527005
ERLANG,number_of_messages: 2000000!N!,1633.022466666666,36.32578749530455,6.632151076772464,0.004061273627367813,1620.023450556192,1646.0214827771401
ERLANG,number_of_messages: 3000000!N!,2467.9567666666667,42.40536372928124,7.74212475791291,0.0031370585021915807,2452.7822021411575,2483.131331192176
ERLANG,number_of_messages: 4000000!N!,3268.0272333333337,66.19003397047508,12.084591562554145,0.003697824620092918,3244.3414338707275,3291.71303279594
ERLANG,number_of_messages: 5000000!N!,4065.0446666666676,97.19586839925385,17.74545653952496,0.004365377995729679,4030.263571849199,4099.825761484137
ERLANG,number_of_messages: 6000000!N!,4850.295899999999,107.79068398020617,19.679796368289885,0.004057442427025924,4811.723499118151,4888.868300881847
ERLANG,number_of_messages: 7000000!N!,5694.1531,125.36094062603722,22.887671670315463,0.004019504089258763,5649.293263526182,5739.012936473819
ERLANG,number_of_messages: 8000000!N!,6508.6426999999985,127.26467038559905,23.23524358121743,0.0035699061466713225,6463.101622580813,6554.1837774191845
ERLANG,number_of_messages: 9000000!N!,7342.189333333334,146.14839279103379,26.68292382492487,0.003634191739483637,7289.890802636481,7394.487864030187
ERLANG,number_of_messages: 10000000!N!,8098.784966666668,142.29880052647914,25.980087651426878,0.003207899426686454,8047.863994869871,8149.705938463465
