IMPL,PARAMS,MEAN,SSD,SEM,RSE,CI95LO,CI95UP
KOMPICSJ,number_of_chameneos: 2!N!number_of_meetings: 2000000!N!,30422.65497393333,912.2667175723443,166.55635322518916,0.005474747465922931,30096.204521611962,30749.1054262547
KOMPICSJ,number_of_chameneos: 3!N!number_of_meetings: 2000000!N!,30435.0059645,563.2445376684608,102.8339128908614,0.003378803769935479,30233.451495233912,30636.560433766088
KOMPICSJ,number_of_chameneos: 4!N!number_of_meetings: 2000000!N!,24311.857373299998,357.2404024375899,65.22287562243051,0.0026827598821824367,24184.020537080032,24439.694209519963
KOMPICSJ,number_of_chameneos: 5!N!number_of_meetings: 2000000!N!,26217.71925926667,299.62717273706454,54.704187116529056,0.0020865349337049533,26110.499052518273,26324.939466015065
KOMPICSJ,number_of_chameneos: 6!N!number_of_meetings: 2000000!N!,27959.420021099995,169.95844453924633,31.03002463754531,0.0011098236163027716,27898.601172810406,28020.238869389585
KOMPICSJ,number_of_chameneos: 8!N!number_of_meetings: 2000000!N!,39844.79409333334,764.5117522456673,139.58011072758427,0.0035030952952254863,39571.21707630727,40118.3711103594
KOMPICSJ,number_of_chameneos: 12!N!number_of_meetings: 2000000!N!,34177.8784613,627.9957645061244,114.65581541256881,0.0033546791250485277,33953.15306309137,34402.603859508636
KOMPICSJ,number_of_chameneos: 16!N!number_of_meetings: 2000000!N!,54507.982212233335,842.0602713583943,153.73846846730464,0.0028204762353650436,54206.65481403742,54809.30961042925
KOMPICSJ,number_of_chameneos: 20!N!number_of_meetings: 2000000!N!,78977.32180736666,1437.3903005739971,262.43036385450307,0.003322857218361951,78462.95829421184,79491.68532052149
KOMPICSJ,number_of_chameneos: 24!N!number_of_meetings: 2000000!N!,86411.64151413334,1563.143831222899,285.38971232861,0.0033026766686515517,85852.27767796926,86971.00535029742
KOMPICSJ,number_of_chameneos: 28!N!number_of_meetings: 2000000!N!,108563.02419043334,2074.230358431776,378.7009189250366,0.0034883048049651516,107820.77038934026,109305.27799152641
KOMPICSJ,number_of_chameneos: 32!N!number_of_meetings: 2000000!N!,109352.8591017,2109.6475976032343,385.167192531291,0.0035222416285712204,108597.93140433867,110107.78679906133
