IMPL,PARAMS,MEAN,SSD,SEM,RSE,CI95LO,CI95UP
ERLANG,number_of_nodes: 128!N!block_size: 16!N!,510.84756666666664,24.097032973295523,4.399496176139913,0.0086121505967956,502.2245541614324,519.4705791719009
ERLANG,number_of_nodes: 128!N!block_size: 32!N!,505.8026333333333,47.11712635804767,8.602370983707981,0.017007366938793417,488.94198620526566,522.663280461401
ERLANG,number_of_nodes: 128!N!block_size: 64!N!,1016.0182580645162,102.3372577998739,18.380314095738278,0.018090535233837447,979.9928424368692,1052.0436736921633
ERLANG,number_of_nodes: 256!N!block_size: 16!N!,8439.1901,358.78364842323316,65.50463250180255,0.007761957216937505,8310.801020296467,8567.579179703533
ERLANG,number_of_nodes: 256!N!block_size: 32!N!,3334.4272000000005,72.11591306166234,13.166504112984637,0.003948655443125174,3308.6208519385505,3360.2335480614506
ERLANG,number_of_nodes: 256!N!block_size: 64!N!,3524.168233333333,267.37579730637464,48.81591850521014,0.013851756009683348,3428.489033063121,3619.8474336035447
ERLANG,number_of_nodes: 512!N!block_size: 16!N!,232860.14736666667,2537.3373874731633,463.2523077067592,0.001989401419459346,231952.17284356142,233768.12188977192
ERLANG,number_of_nodes: 512!N!block_size: 32!N!,70445.4347,1358.4229645603664,248.01296677425117,0.0035206393122626466,69959.32928512247,70931.54011487753
ERLANG,number_of_nodes: 512!N!block_size: 64!N!,17748.86263333333,278.9147204410751,50.922628001941355,0.002869064291832756,17649.054282449524,17848.670984217137
