IMPL,PARAMS,MEAN,SSD,SEM,RSE,CI95LO,CI95UP
ACTIX,fib_number: 26!N!,1015.9640142666668,241.91912318451543,44.16818695334337,0.04347416476677515,929.3943678381138,1102.5336606952199
ACTIX,fib_number: 27!N!,1828.9328079000002,352.8114842510585,64.41426949039447,0.03521959320329303,1702.680839698827,1955.1847761011734
ACTIX,fib_number: 28!N!,2956.1468999999993,708.509014664295,129.35545650913096,0.04375812870095562,2702.6102052421024,3209.683594757896
ACTIX,fib_number: 29!N!,3231.5519072666666,896.087700413988,163.60248233989088,0.0506265989328546,2910.8910418804803,3552.212772652853
ACTIX,fib_number: 30!N!,5262.2094036,1092.6124920933878,199.48283617716115,0.03790857050285576,4871.223044692764,5653.1957625072355
ACTIX,fib_number: 31!N!,8432.375268,645.2133530773598,117.79930262800508,0.013969883797159901,8201.488634849109,8663.26190115089
ACTIX,fib_number: 32!N!,13556.063805766666,344.8545957471139,62.961547050006466,0.00464453014917376,13432.659173548653,13679.468437984679
KOMPICSJ,fib_number: 26!N!,1042.0066533666666,284.4564179958032,51.93439892113996,0.04984075557804046,940.2152314812322,1143.798075252101
KOMPICSJ,fib_number: 27!N!,1475.4509556999997,69.06594206123306,12.609658140760732,0.008546307887799849,1450.7360257441087,1500.1658856558906
KOMPICSJ,fib_number: 28!N!,2677.6674683,211.58325765821039,38.629641003276504,0.014426601309012327,2601.953371933578,2753.381564666422
KOMPICSJ,fib_number: 29!N!,4506.091496066667,269.6898459153028,49.23840404596794,0.010927075956834825,4409.58422413657,4602.598767996764
KOMPICSJ,fib_number: 30!N!,8061.699190866667,734.2518193903304,134.0554281230977,0.016628681491238594,7798.950551745395,8324.447829987937
KOMPICSJ,fib_number: 31!N!,20207.061193608693,13696.974009146963,2019.508641311412,0.09994073962373924,16248.824256638327,24165.29813057906
KOMPICSJ,fib_number: 32!N!,102910.83790556666,19807.165101351704,3616.2770420798092,0.035139904753260176,95822.93490309024,109998.74090804308
