IMPL,PARAMS,MEAN,SSD,SEM,RSE,CI95LO,CI95UP
AKKATYPED,read_workload: 0.5!N!write_workload: 0.5!N!partition_size: 3!N!number_of_keys: 2000!N!,214.61727653333335,90.3679458581291,16.498854140634286,0.07687570361126897,182.27952241769015,246.95503064897656
AKKATYPED,read_workload: 0.5!N!write_workload: 0.5!N!partition_size: 3!N!number_of_keys: 10000!N!,601.2409405666664,101.83497471320462,18.592437597796785,0.03092343907963671,564.7997628749847,637.682118258348
AKKATYPED,read_workload: 0.5!N!write_workload: 0.5!N!partition_size: 3!N!number_of_keys: 20000!N!,1243.3968992333332,350.4981752282669,63.9919189789734,0.05146540016179083,1117.9727380345453,1368.8210604321212
AKKATYPED,read_workload: 0.5!N!write_workload: 0.5!N!partition_size: 3!N!number_of_keys: 40000!N!,2183.2921751333333,492.96979270994643,90.00355854529448,0.04122378102683301,2006.8852003845561,2359.6991498821103
AKKATYPED,read_workload: 0.5!N!write_workload: 0.5!N!partition_size: 5!N!number_of_keys: 2000!N!,194.5945193666666,94.27090581151236,17.21143387647006,0.08844768050244647,160.86010896878526,228.32892976454792
AKKATYPED,read_workload: 0.5!N!write_workload: 0.5!N!partition_size: 5!N!number_of_keys: 10000!N!,703.276902733333,148.47592579561265,27.107871268240075,0.03854508965513229,650.1454750475825,756.4083304190835
AKKATYPED,read_workload: 0.5!N!write_workload: 0.5!N!partition_size: 5!N!number_of_keys: 20000!N!,1198.9628637666663,106.65247225803806,19.47198828980713,0.016240693417837695,1160.7977667186442,1237.1279608146883
AKKATYPED,read_workload: 0.5!N!write_workload: 0.5!N!partition_size: 5!N!number_of_keys: 40000!N!,2282.4369997333333,167.6889933579436,30.61568143582656,0.013413593207349653,2222.4302641191134,2342.4437353475532
AKKATYPED,read_workload: 0.5!N!write_workload: 0.5!N!partition_size: 7!N!number_of_keys: 2000!N!,268.9461682333333,102.30413477203162,18.67809411356345,0.06944919214226782,232.33710377074894,305.55523269591765
AKKATYPED,read_workload: 0.5!N!write_workload: 0.5!N!partition_size: 7!N!number_of_keys: 10000!N!,981.7331084666669,86.93435520483715,15.87196912261865,0.01616729535322334,950.6240489863343,1012.8421679469994
AKKATYPED,read_workload: 0.5!N!write_workload: 0.5!N!partition_size: 7!N!number_of_keys: 20000!N!,1895.7696016666664,86.8101641572452,15.849295043216546,0.00836034876246704,1864.704983381962,1926.8342199513709
AKKATYPED,read_workload: 0.5!N!write_workload: 0.5!N!partition_size: 7!N!number_of_keys: 40000!N!,3802.1832827666663,131.04996114064363,23.926339958968654,0.006292789741992291,3755.2876564470876,3849.078909086245
AKKATYPED,read_workload: 0.95!N!write_workload: 0.05!N!partition_size: 3!N!number_of_keys: 2000!N!,153.24308146666667,27.446275214880227,5.010981351561617,0.03269956009499589,143.4215580176059,163.06460491572744
AKKATYPED,read_workload: 0.95!N!write_workload: 0.05!N!partition_size: 3!N!number_of_keys: 10000!N!,612.5570673333333,146.73301476714565,26.789660706234773,0.04373414680016536,560.0493323491131,665.0648023175535
AKKATYPED,read_workload: 0.95!N!write_workload: 0.05!N!partition_size: 3!N!number_of_keys: 20000!N!,930.4694208333333,145.2432866533013,26.51767480873405,0.028499243731174618,878.4947782082146,982.444063458452
AKKATYPED,read_workload: 0.95!N!write_workload: 0.05!N!partition_size: 3!N!number_of_keys: 40000!N!,1782.9700795333333,288.1082794284214,52.601134548982664,0.029501972665043404,1679.8718558173273,1886.0683032493394
AKKATYPED,read_workload: 0.95!N!write_workload: 0.05!N!partition_size: 5!N!number_of_keys: 2000!N!,133.52491139999998,27.187932405911297,4.963814623547774,0.03717519503666021,123.79583473784635,143.2539880621536
AKKATYPED,read_workload: 0.95!N!write_workload: 0.05!N!partition_size: 5!N!number_of_keys: 10000!N!,481.9079186333332,59.322653419795074,10.830785149694249,0.022474802199577492,460.6795797399325,503.13625752673397
AKKATYPED,read_workload: 0.95!N!write_workload: 0.05!N!partition_size: 5!N!number_of_keys: 20000!N!,884.3008306333332,84.15609873544919,15.364731209679169,0.017375004837069982,854.1859574623621,914.4157038043044
AKKATYPED,read_workload: 0.95!N!write_workload: 0.05!N!partition_size: 5!N!number_of_keys: 40000!N!,1660.1167061,116.36624160061295,21.24547181891726,0.012797577267219851,1618.4755813349223,1701.757830865078
AKKATYPED,read_workload: 0.95!N!write_workload: 0.05!N!partition_size: 7!N!number_of_keys: 2000!N!,180.35622746666667,28.91257384400165,5.278689629964518,0.029268130655150913,170.0099957919362,190.70245914139713
AKKATYPED,read_workload: 0.95!N!write_workload: 0.05!N!partition_size: 7!N!number_of_keys: 10000!N!,731.7618204000001,53.298048124369444,9.73084774290435,0.013297834721118977,712.6893588239076,750.8342819760927
AKKATYPED,read_workload: 0.95!N!write_workload: 0.05!N!partition_size: 7!N!number_of_keys: 20000!N!,1377.3486282666668,61.097868655624666,11.154893626057822,0.00809881637599318,1355.4850367595934,1399.2122197737401
AKKATYPED,read_workload: 0.95!N!write_workload: 0.05!N!partition_size: 7!N!number_of_keys: 40000!N!,2729.060324266667,108.08243847774243,19.733063208141285,0.007230717119982977,2690.3835203787103,2767.737128154624
KOMPACTMIX,read_workload: 0.5!N!write_workload: 0.5!N!partition_size: 3!N!number_of_keys: 2000!N!,80.2581169,13.516865346126503,2.46783068561112,0.0307486741644585,75.4211687562022,85.0950650437978
KOMPACTMIX,read_workload: 0.5!N!write_workload: 0.5!N!partition_size: 3!N!number_of_keys: 10000!N!,374.38562986666665,39.62343470079639,7.234216330486381,0.019322900649426017,360.20656585891334,388.56469387441996
