IMPL,PARAMS,MEAN,SSD,SEM,RSE,CI95LO,CI95UP
KOMPICSSC2,number_of_chameneos: 2!N!number_of_meetings: 2000000!N!,38627.608790466664,2256.713917476541,412.0177061459178,0.010666404653233525,37820.05408642066,39435.163494512664
KOMPICSSC2,number_of_chameneos: 3!N!number_of_meetings: 2000000!N!,34015.04641283334,1253.1923412729207,228.80057140263034,0.006726451836217618,33566.59729288419,34463.495532782494
KOMPICSSC2,number_of_chameneos: 4!N!number_of_meetings: 2000000!N!,20100.395688200002,1245.332081521974,227.36549087814922,0.011311493286255296,19654.75932607883,20546.032050321173
KOMPICSSC2,number_of_chameneos: 5!N!number_of_meetings: 2000000!N!,19342.978648400003,817.1253536109014,149.18599616069204,0.007712669226000117,19050.574095925047,19635.38320087496
KOMPICSSC2,number_of_chameneos: 6!N!number_of_meetings: 2000000!N!,15886.044833700002,486.348528780968,88.79468667426224,0.005589477280455412,15712.007247818448,16060.082419581555
KOMPICSSC2,number_of_chameneos: 8!N!number_of_meetings: 2000000!N!,15683.0258499,1262.7577666246443,230.54697114838729,0.014700413896841045,15231.15378644916,16134.897913350838
KOMPICSSC2,number_of_chameneos: 12!N!number_of_meetings: 2000000!N!,19535.0330569,1071.0696226889263,195.54966433509065,0.010010203912402402,19151.75571480322,19918.31039899678
KOMPICSSC2,number_of_chameneos: 16!N!number_of_meetings: 2000000!N!,22298.2253359,930.7739212487005,169.93529086848343,0.007621023122180433,21965.152165797772,22631.298506002226
KOMPICSSC2,number_of_chameneos: 20!N!number_of_meetings: 2000000!N!,25248.469335700003,1272.1396161885907,232.25985469415178,0.00919896773170913,24793.240020499466,25703.69865090054
KOMPICSSC2,number_of_chameneos: 24!N!number_of_meetings: 2000000!N!,28468.11433006667,1398.2714460882821,255.2882708459736,0.008967516003557365,27967.74931920856,28968.47934092478
KOMPICSSC2,number_of_chameneos: 28!N!number_of_meetings: 2000000!N!,31217.208675633334,1595.667906493495,291.3277688911771,0.009332281176009618,30646.206248606628,31788.21110266004
KOMPICSSC2,number_of_chameneos: 32!N!number_of_meetings: 2000000!N!,34510.044157466655,1779.448630973493,324.8813850352894,0.009414110962967211,33873.276642797486,35146.811672135824
KOMPICSSC2,number_of_chameneos: 36!N!number_of_meetings: 2000000!N!,37333.48940123334,1745.3148911893522,318.64944528469425,0.008535217318158518,36708.93648847534,37958.04231399134
KOMPICSSC2,number_of_chameneos: 40!N!number_of_meetings: 2000000!N!,40451.53061829999,1938.2034507136464,353.86591699673886,0.008747899315252421,39757.953420986385,41145.1078156136
KOMPICSSC2,number_of_chameneos: 48!N!number_of_meetings: 2000000!N!,46234.272724300004,2227.6190417736075,406.70573290248257,0.00879662875477058,45437.12948781114,47031.41596078887
KOMPICSSC2,number_of_chameneos: 56!N!number_of_meetings: 2000000!N!,52217.958613400006,2597.7055164467733,474.27396970450167,0.009082583507636298,51288.38163277918,53147.53559402083
KOMPICSSC2,number_of_chameneos: 64!N!number_of_meetings: 2000000!N!,57813.144507066674,2690.6380803625807,491.24105689899443,0.008497047878773461,56850.312035544644,58775.976978588704
KOMPICSSC2,number_of_chameneos: 128!N!number_of_meetings: 2000000!N!,98072.73961323335,3940.258696095669,719.3895234191637,0.007335264888655089,96662.73614733179,99482.74307913492
