IMPL,PARAMS,MEAN,SSD,SEM,RSE,CI95LO,CI95UP
ACTIX,number_of_messages: 1000000!N!,1757.0293389666665,5.791283289600146,1.0573388315389078,6.017764234720996E-4,1754.9569548568502,1759.1017230764828
ACTIX,number_of_messages: 2000000!N!,3525.4983865666673,6.231227959601495,1.1376613714768762,3.226951899373286E-4,3523.2685702785725,3527.728202854762
ACTIX,number_of_messages: 3000000!N!,5263.635743399999,15.084467229693255,2.754034323216819,5.232190177046473E-4,5258.237836126495,5269.033650673504
ACTIX,number_of_messages: 4000000!N!,7015.7620160999995,16.05792766196363,2.9317630690812244,4.178823429804658E-4,7010.0157604846,7021.508271715399
ACTIX,number_of_messages: 5000000!N!,8862.1589222,11.714091544486845,2.138690726531992,2.413284105269768E-4,8857.967088375997,8866.350756024003
ACTIX,number_of_messages: 6000000!N!,10518.031029900001,7.97251413746036,1.455575277705294,1.3838857040519042E-4,10515.1781023557,10520.883957444303
ACTIX,number_of_messages: 7000000!N!,12401.965660733333,34.17815310168489,6.240048475885992,5.031499559495648E-4,12389.735165720596,12414.196155746069
ACTIX,number_of_messages: 8000000!N!,14217.525821799998,25.534320714419906,4.661907815286404,3.278986705364877E-4,14208.388482482036,14226.66316111796
ACTIX,number_of_messages: 9000000!N!,15951.203445066663,41.62012999823664,7.598761348777219,4.763754267786823E-4,15936.30987282306,15966.097017310267
ACTIX,number_of_messages: 10000000!N!,17710.253682133334,80.69266089642548,14.732396866029092,8.318569078935103E-4,17681.378184275916,17739.129179990752
AKKA,number_of_messages: 1000000!N!,3605.9762802666664,199.4145454856211,36.40794828570489,0.01009655789610809,3534.616701626685,3677.335858906648
AKKA,number_of_messages: 2000000!N!,3926.080169266666,1997.3798592360015,364.6700016033505,0.09288399265455283,3211.3269661240993,4640.833372409233
AKKA,number_of_messages: 3000000!N!,9266.023567833332,1365.1608247900838,249.24312611996223,0.026898606969358547,8777.507040638206,9754.540095028458
AKKA,number_of_messages: 4000000!N!,12285.34476133333,1709.2662501864402,312.0678940031274,0.02540163911275198,11673.6916890872,12896.99783357946
AKKA,number_of_messages: 5000000!N!,15052.1302527,3098.015479222573,565.6176538234602,0.03757724948746052,13943.51965120602,16160.740854193982
AKKA,number_of_messages: 6000000!N!,14511.78959846667,4462.068942547984,814.6586043255846,0.05613770781321569,12915.058733988524,16108.520462944816
AKKA,number_of_messages: 7000000!N!,22580.90490186667,3011.1287020699956,549.7543712249965,0.024345984964471046,21503.386334265677,23658.423469467663
AKKA,number_of_messages: 8000000!N!,22386.20092626667,3266.1267939329896,596.3104402363753,0.026637411242775865,21217.432463403373,23554.969389129965
AKKA,number_of_messages: 9000000!N!,23781.818974833343,5392.790452442445,984.5843262337393,0.0414007157011689,21852.033695415215,25711.60425425147
AKKA,number_of_messages: 10000000!N!,26653.725615200005,6195.529836816847,1131.1438157736293,0.04243848804118266,24436.683736283692,28870.767494116317
AKKATYPED,number_of_messages: 1000000!N!,2942.5372039999997,828.4543185286108,151.25437270689673,0.05140270529163945,2646.0786334944823,3238.995774505517
AKKATYPED,number_of_messages: 2000000!N!,6904.9256449,783.095806224452,142.9730792522756,0.020705954937816885,6624.698409565541,7185.15288023446
AKKATYPED,number_of_messages: 3000000!N!,10059.616027833334,1148.2381549819709,209.63864629057946,0.020839627050430472,9648.724281103798,10470.50777456287
AKKATYPED,number_of_messages: 4000000!N!,10658.552210266667,1780.4458304272603,325.0634479136761,0.03049789891731865,10021.427852355862,11295.676568177472
AKKATYPED,number_of_messages: 5000000!N!,13865.075356100004,1747.887755925568,319.1191839691725,0.02301604396464925,13239.601755520425,14490.548956679582
AKKATYPED,number_of_messages: 6000000!N!,15749.944036,1582.131165077282,288.85630934825235,0.01834014830071821,15183.785669677427,16316.102402322575
AKKATYPED,number_of_messages: 7000000!N!,21188.40154636667,2862.9155229787502,522.6944707223871,0.024668895838063695,20163.920383750792,22212.882708982546
AKKATYPED,number_of_messages: 8000000!N!,23656.983480400002,2576.0715217154475,470.32416073007,0.019880986141776583,22735.148125369065,24578.81883543094
AKKATYPED,number_of_messages: 9000000!N!,24426.592316666665,3763.271878489718,687.0762992912197,0.028128209223126727,23079.922770055873,25773.261863277457
AKKATYPED,number_of_messages: 10000000!N!,27469.717600733336,2905.478706491771,530.4654092988249,0.019310916006091867,26430.00539850764,28509.42980295903
ERLANG,number_of_messages: 1000000!N!,791.7181000000002,13.06542181999811,2.3854087513777222,0.003012952149733247,787.0426988472998,796.3935011527005
ERLANG,number_of_messages: 2000000!N!,1633.022466666666,36.32578749530455,6.632151076772464,0.004061273627367813,1620.023450556192,1646.0214827771401
ERLANG,number_of_messages: 3000000!N!,2467.9567666666667,42.40536372928124,7.74212475791291,0.0031370585021915807,2452.7822021411575,2483.131331192176
ERLANG,number_of_messages: 4000000!N!,3268.0272333333337,66.19003397047508,12.084591562554145,0.003697824620092918,3244.3414338707275,3291.71303279594
ERLANG,number_of_messages: 5000000!N!,4065.0446666666676,97.19586839925385,17.74545653952496,0.004365377995729679,4030.263571849199,4099.825761484137
ERLANG,number_of_messages: 6000000!N!,4850.295899999999,107.79068398020617,19.679796368289885,0.004057442427025924,4811.723499118151,4888.868300881847
ERLANG,number_of_messages: 7000000!N!,5694.1531,125.36094062603722,22.887671670315463,0.004019504089258763,5649.293263526182,5739.012936473819
ERLANG,number_of_messages: 8000000!N!,6508.6426999999985,127.26467038559905,23.23524358121743,0.0035699061466713225,6463.101622580813,6554.1837774191845
ERLANG,number_of_messages: 9000000!N!,7342.189333333334,146.14839279103379,26.68292382492487,0.003634191739483637,7289.890802636481,7394.487864030187
ERLANG,number_of_messages: 10000000!N!,8098.784966666668,142.29880052647914,25.980087651426878,0.003207899426686454,8047.863994869871,8149.705938463465
KOMPACTCO,number_of_messages: 1000000!N!,1294.1979368333339,337.8952550205612,61.69095108290737,0.04766732300149842,1173.2836727108354,1415.1122009558323
KOMPACTCO,number_of_messages: 2000000!N!,1168.5437104999996,17.99026235438879,3.28455750231158,0.0028108127002850194,1162.105977795469,1174.9814432045303
KOMPACTCO,number_of_messages: 3000000!N!,1807.3078804333336,48.53380495045574,8.861019924306836,0.004902883465645185,1789.940281381692,1824.675479484975
KOMPACTCO,number_of_messages: 4000000!N!,2403.1009267000004,46.23264693137706,8.440887872495738,0.003512498280331064,2386.5567864699087,2419.645066930092
KOMPACTCO,number_of_messages: 5000000!N!,3067.3312104,59.63797943096527,10.888355539456262,0.0035497814851355256,3045.990033542666,3088.6723872573343
