IMPL,PARAMS,MEAN,SSD,SEM,RSE,CI95LO,CI95UP
KOMPICSJ,number_of_chameneos: 2!N!number_of_meetings: 2000000!N!,34352.648493633336,2778.8990630316953,507.35523395081,0.014769028188462366,33358.23223508975,35347.06475217692
KOMPICSJ,number_of_chameneos: 3!N!number_of_meetings: 2000000!N!,31384.499101,1060.9159548126602,193.6958666893418,0.006171704893743871,31004.85520228889,31764.14299971111
KOMPICSJ,number_of_chameneos: 4!N!number_of_meetings: 2000000!N!,24743.57472606667,698.5655664145906,127.5400395405482,0.005154471047636795,24493.596248567195,24993.55320356614
KOMPICSJ,number_of_chameneos: 5!N!number_of_meetings: 2000000!N!,26834.8273656,740.4050703660553,135.1788529102294,0.0050374407507281895,26569.87681389595,27099.777917304047
KOMPICSJ,number_of_chameneos: 6!N!number_of_meetings: 2000000!N!,28247.11049566667,587.1591330921882,107.20010067992318,0.003795082003037745,28036.998298334023,28457.22269299932
KOMPICSJ,number_of_chameneos: 8!N!number_of_meetings: 2000000!N!,39129.08541016667,3081.243897667246,562.5555959758301,0.014376916559099149,38026.476442054045,40231.694378279295
KOMPICSJ,number_of_chameneos: 12!N!number_of_meetings: 2000000!N!,48280.8442553,2087.457646957001,381.11588035833495,0.007893728584012865,47533.85712979766,49027.83138080234
KOMPICSJ,number_of_chameneos: 16!N!number_of_meetings: 2000000!N!,48037.796096633334,3203.8067160910036,584.9324027631974,0.012176503717750524,46891.32858721747,49184.2636060492
KOMPICSJ,number_of_chameneos: 20!N!number_of_meetings: 2000000!N!,60540.06570603334,2646.281820843208,483.1427489305566,0.007980545499844201,59593.10591812945,61487.02549393723
