IMPL,PARAMS,MEAN,SSD,SEM,RSE,CI95LO,CI95UP
AKKA,number_of_chameneos: 2!N!number_of_meetings: 2000000!N!,17130.049435033336,795.2720589595594,145.1961486819097,0.008476107978121964,16845.464983616792,17414.63388644988
AKKA,number_of_chameneos: 3!N!number_of_meetings: 2000000!N!,14444.433007200003,407.477455036336,74.39486459939943,0.0051504177811836855,14298.61907258518,14590.246941814827
AKKA,number_of_chameneos: 4!N!number_of_meetings: 2000000!N!,8346.696703833335,385.0310577599404,70.2967318917313,0.008422102106507184,8208.915109325542,8484.478298341128
AKKA,number_of_chameneos: 5!N!number_of_meetings: 2000000!N!,8033.030090233332,144.770716181726,26.4313956396365,0.0032903394289251014,7981.224554779645,8084.835625687019
AKKA,number_of_chameneos: 6!N!number_of_meetings: 2000000!N!,7915.580866800002,395.339965255823,72.17887228464096,0.009118581882901084,7774.110277122106,8057.051456477898
AKKA,number_of_chameneos: 8!N!number_of_meetings: 2000000!N!,7238.669317099998,237.27056888495036,43.319480936790235,0.005984453639076465,7153.763134463889,7323.575499736106
AKKA,number_of_chameneos: 12!N!number_of_meetings: 2000000!N!,7098.873180833333,184.3759874484597,33.66229579593692,0.004741920997662522,7032.895081073297,7164.85128059337
AKKA,number_of_chameneos: 16!N!number_of_meetings: 2000000!N!,7019.032308866666,289.01848739595033,52.76731502759484,0.0075177478469414475,6915.608371412581,7122.456246320752
AKKA,number_of_chameneos: 20!N!number_of_meetings: 2000000!N!,6922.761397633334,140.44965708216083,25.64248179258823,0.0037040828536073133,6872.502133319861,6973.020661946807
AKKA,number_of_chameneos: 24!N!number_of_meetings: 2000000!N!,7085.113794633335,241.62201301681662,44.113942306372444,0.006226285644104521,6998.650467712845,7171.577121553824
AKKA,number_of_chameneos: 28!N!number_of_meetings: 2000000!N!,7069.3300463333335,262.6190559541313,47.94746032559637,0.006782461705896076,6975.353024095165,7163.307068571502
AKKA,number_of_chameneos: 32!N!number_of_meetings: 2000000!N!,6912.852461266665,383.63489973206794,70.04182947649541,0.010132116932763441,6775.570475492734,7050.134447040597
AKKA,number_of_chameneos: 36!N!number_of_meetings: 2000000!N!,7181.285935833334,592.8672768919101,108.24226038678682,0.015072824192485816,6969.131105475232,7393.4407661914365
AKKA,number_of_chameneos: 40!N!number_of_meetings: 2000000!N!,7236.005333166668,284.51441605030544,51.94498786872072,0.0071786829164743335,7134.193156943975,7337.817509389361
AKKA,number_of_chameneos: 48!N!number_of_meetings: 2000000!N!,7152.586109999999,289.1292960438799,52.78754582627407,0.007380204168737239,7049.122520180502,7256.049699819497
AKKA,number_of_chameneos: 56!N!number_of_meetings: 2000000!N!,6819.600725833335,324.2413761061505,59.1981052566184,0.00868058228575905,6703.572439530362,6935.629012136307
AKKA,number_of_chameneos: 64!N!number_of_meetings: 2000000!N!,6921.090098366668,295.94952179077626,54.03274298922495,0.007806970032361856,6815.185922107787,7026.994274625549
