IMPL,PARAMS,MEAN,SSD,SEM,RSE,CI95LO,CI95UP
AKKA,number_of_messages: 1000000!N!,3605.9762802666664,199.4145454856211,36.40794828570489,0.01009655789610809,3534.616701626685,3677.335858906648
AKKA,number_of_messages: 2000000!N!,3926.080169266666,1997.3798592360015,364.6700016033505,0.09288399265455283,3211.3269661240993,4640.833372409233
AKKA,number_of_messages: 3000000!N!,9266.023567833332,1365.1608247900838,249.24312611996223,0.026898606969358547,8777.507040638206,9754.540095028458
AKKA,number_of_messages: 4000000!N!,12285.34476133333,1709.2662501864402,312.0678940031274,0.02540163911275198,11673.6916890872,12896.99783357946
AKKA,number_of_messages: 5000000!N!,15052.1302527,3098.015479222573,565.6176538234602,0.03757724948746052,13943.51965120602,16160.740854193982
AKKA,number_of_messages: 6000000!N!,14511.78959846667,4462.068942547984,814.6586043255846,0.05613770781321569,12915.058733988524,16108.520462944816
AKKA,number_of_messages: 7000000!N!,22580.90490186667,3011.1287020699956,549.7543712249965,0.024345984964471046,21503.386334265677,23658.423469467663
AKKA,number_of_messages: 8000000!N!,22386.20092626667,3266.1267939329896,596.3104402363753,0.026637411242775865,21217.432463403373,23554.969389129965
AKKA,number_of_messages: 9000000!N!,23781.818974833343,5392.790452442445,984.5843262337393,0.0414007157011689,21852.033695415215,25711.60425425147
AKKA,number_of_messages: 10000000!N!,26653.725615200005,6195.529836816847,1131.1438157736293,0.04243848804118266,24436.683736283692,28870.767494116317
AKKATYPED,number_of_messages: 1000000!N!,2942.5372039999997,828.4543185286108,151.25437270689673,0.05140270529163945,2646.0786334944823,3238.995774505517
AKKATYPED,number_of_messages: 2000000!N!,6904.9256449,783.095806224452,142.9730792522756,0.020705954937816885,6624.698409565541,7185.15288023446
AKKATYPED,number_of_messages: 3000000!N!,10059.616027833334,1148.2381549819709,209.63864629057946,0.020839627050430472,9648.724281103798,10470.50777456287
AKKATYPED,number_of_messages: 4000000!N!,10658.552210266667,1780.4458304272603,325.0634479136761,0.03049789891731865,10021.427852355862,11295.676568177472
AKKATYPED,number_of_messages: 5000000!N!,13865.075356100004,1747.887755925568,319.1191839691725,0.02301604396464925,13239.601755520425,14490.548956679582
AKKATYPED,number_of_messages: 6000000!N!,15749.944036,1582.131165077282,288.85630934825235,0.01834014830071821,15183.785669677427,16316.102402322575
AKKATYPED,number_of_messages: 7000000!N!,21188.40154636667,2862.9155229787502,522.6944707223871,0.024668895838063695,20163.920383750792,22212.882708982546
AKKATYPED,number_of_messages: 8000000!N!,23656.983480400002,2576.0715217154475,470.32416073007,0.019880986141776583,22735.148125369065,24578.81883543094
AKKATYPED,number_of_messages: 9000000!N!,24426.592316666665,3763.271878489718,687.0762992912197,0.028128209223126727,23079.922770055873,25773.261863277457
AKKATYPED,number_of_messages: 10000000!N!,27469.717600733336,2905.478706491771,530.4654092988249,0.019310916006091867,26430.00539850764,28509.42980295903
